Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Land Rover,Discovery,3.0 Se Petrol,8077550,2995 cc,6,4,4WD,V,BS IV,Front Longitudinal,Injection,89,Petrol,1846,4988,200,SUV,5,,
Land Rover,Discovery,3.0 S Diesel,8877094,2993 cc,6,4,4WD,V,BS IV,Front Longitudinal,Injection,85,Diesel,1846,4988,200,SUV,5,,
Land Rover,Discovery,3.0 S Petrol,7693664,2995 cc,6,4,4WD,V,BS IV,Front Longitudinal,Injection,89,Petrol,1846,4988,200,SUV,5,,
Land Rover,Discovery,3.0 Hse Luxury Diesel,10861088,2993 cc,6,4,4WD,V,BS IV,Front Longitudinal,Injection,85,Diesel,1846,4988,200,SUV,5,,
Land Rover,Discovery,3.0 Hse Luxury Petrol,8937846,2995 cc,6,4,4WD,V,BS IV,Front Longitudinal,Injection,89,Petrol,1846,4988,200,SUV,5,,
Lexus,Ls 500H,Luxury,1221000,3456 cc,6,4,AWD (All Wheel Drive),V,BS IV,Front Transverse,Injection,2,Hybrid,1450,235,1900,SUV,4,,
Lexus,Ls 500H,Ultra Luxury,18736000,3456 cc,6,4,AWD (All Wheel Drive),V,BS IV,Front Transverse,Injection,2,Hybrid,1450,235,1900,SUV,4,,
Lexus,Ls 500H,Distinct,19371000,3456 cc,6,4,AWD (All Wheel Drive),V,BS IV,Front Transverse,Injection,2,Hybrid,1450,235,1900,SUV,4,,
,Rolls-Royce Phantom,Sedan,95000000,6749 cc,2,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,100,Petrol,1638,582,1990,Sedan,4,102.00,14.9
,Rolls-Royce Phantom,Ewb,75400000,6749 cc,2,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,100,Petrol,1640,602,1990,Sedan,4,102.00,14.9
Fiat,Punto Evo,Dynamic 12,53552,112 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,45,Petrol,125,3989,1687,Hatchback,5,15.80,
Fiat,Punto Evo,Active Multijet 1.3,63122,112 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,45,Diesel,125,3989,1687,Hatchback,5,212.00,
Fiat,Punto Evo,Dynamic Multijet 1.3,62655,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,45,Diesel,125,3989,1687,Hatchback,5,212.00,
Fiat,Punto Evo,Emotion Multijet 1.3,747774,248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,45,Diesel,125,3989,1687,Hatchback,5,212.00,
Toyota,Yaris,J,940000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,G,1055000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,V,1174000,1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,Vx Cvt,1418000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,G Cvt,1175000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,J Cvt,1010000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,V Cvt,294000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,Vx,296000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,V (O),1197000,1498 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,2,Petrol,1495,425,1730,Sedan,4,,
Toyota,Yaris,J (O),876000,1496 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,,Injection,2,Petrol,1495,425,1730,Sedan,4,,
